code,onset,offset,code.value
transcribe,00:18:11.071,00:18:11.571,"b,c"
transcribe,00:18:20.633,00:18:21.133,"b,c"
transcribe,00:18:24.941,00:18:25.441,"m,what are you doing?"
transcribe,00:18:27.653,00:18:28.153,"b,b"
transcribe,00:18:30.412,00:18:30.912,"b,uh oh"
transcribe,00:18:31.869,00:18:32.369,"m,uh oh?"
transcribe,00:18:32.366,00:18:32.866,"b,b"
transcribe,00:18:32.831,00:18:33.331,"m,wheres that go?"
transcribe,00:18:40.319,00:18:40.819,"m,what?"
transcribe,00:18:43.311,00:18:43.811,"b,put that"
transcribe,00:18:44.287,00:18:44.787,"b,yeah"
transcribe,00:18:45.106,00:18:45.606,"b,b"
transcribe,00:18:47.076,00:18:47.576,"b,b"
transcribe,00:18:48.826,00:18:49.326,"b,b"
transcribe,00:18:54.686,00:18:55.186,"m,hey no no no no no"
transcribe,00:18:55.772,00:18:56.272,"m,don't draw on the couch"
transcribe,00:18:57.168,00:18:57.668,"m,hey"
transcribe,00:18:58.778,00:18:59.278,"b,why?"
transcribe,00:18:59.305,00:18:59.805,"m,don't draw on the couch"
transcribe,00:19:01.135,00:19:01.635,"m,no no no no no"
transcribe,00:19:02.965,00:19:03.465,"m,hey"
transcribe,00:19:03.507,00:19:04.007,"m,oh no"
transcribe,00:19:04.855,00:19:05.355,"m,what you do?"
transcribe,00:19:05.583,00:19:06.083,"m,no no no no no"
transcribe,00:19:07.025,00:19:07.525,"m,don't draw on the couch"
transcribe,00:19:08.467,00:19:08.967,"m,i'm gonna take this away ok?"
transcribe,00:19:09.071,00:19:09.571,"b,c"
transcribe,00:19:11.288,00:19:11.788,"m,no"
transcribe,00:19:11.675,00:19:12.175,"m,no"
transcribe,00:19:12.232,00:19:12.732,"m,don't draw on the couch"
transcribe,00:19:12.822,00:19:13.322,"b,c"
transcribe,00:19:13.503,00:19:14.003,"b,c"
transcribe,00:19:14.729,00:19:15.229,"m,please?"
transcribe,00:19:15.364,00:19:15.864,"b,c"
transcribe,00:19:17.636,00:19:18.136,"b,c"
transcribe,00:19:17.700,00:19:18.200,"b,c"
transcribe,00:19:19.503,00:19:20.003,"m,luca"
transcribe,00:19:20.325,00:19:20.825,"m,you can't draw on the couch"
transcribe,00:19:21.202,00:19:21.702,"m,ok?"
transcribe,00:19:21.811,00:19:22.311,"m,you gotta draw on here"
transcribe,00:19:22.447,00:19:22.947,"b,cc"
transcribe,00:19:24.633,00:19:25.133,"b,c"
transcribe,00:19:27.424,00:19:27.924,"b,c"
transcribe,00:19:28.011,00:19:28.511,"m,it's ok"
transcribe,00:19:29.021,00:19:29.521,"m,you just can't draw on here"
transcribe,00:19:31.935,00:19:32.435,"b,b"
transcribe,00:19:32.847,00:19:33.347,"m,why don't you draw on here?"
transcribe,00:19:33.655,00:19:34.155,"m,look"
transcribe,00:19:34.244,00:19:34.744,"b,c"
transcribe,00:19:34.569,00:19:35.069,"m,there's so much to draw on"
transcribe,00:19:35.482,00:19:35.982,"m,hi"
transcribe,00:19:39.141,00:19:39.641,"b,c"
transcribe,00:19:39.529,00:19:40.029,"m,hold on"
transcribe,00:19:41.466,00:19:41.966,"m,let's roll up your sleeves"
transcribe,00:19:43.078,00:19:43.578,"m,agh"
transcribe,00:19:45.526,00:19:46.026,"b,b"
transcribe,00:19:46.505,00:19:47.005,"m,you can draw on this if you want"
transcribe,00:19:46.938,00:19:47.438,"b,c"
transcribe,00:19:48.148,00:19:48.648,"b,c"
transcribe,00:19:48.782,00:19:49.282,"b,c"
transcribe,00:19:50.930,00:19:51.430,"b,c"
transcribe,00:19:52.248,00:19:52.748,"b,c"
transcribe,00:19:52.960,00:19:53.460,"b,c"
transcribe,00:19:54.046,00:19:54.546,"b,c"
transcribe,00:19:54.696,00:19:55.196,"b,b"
transcribe,00:19:57.153,00:19:57.653,"m,uh huh"
transcribe,00:19:58.425,00:19:58.925,"m,that's it"
transcribe,00:19:59.386,00:19:59.886,"m,xxx"
transcribe,00:20:00.424,00:20:00.924,"m,yeah"
transcribe,00:20:02.129,00:20:02.629,"b,b"
transcribe,00:20:04.143,00:20:04.643,"b,c"
transcribe,00:20:11.646,00:20:12.146,"b,c"
transcribe,00:20:12.499,00:20:12.999,"b,c"
transcribe,00:20:13.754,00:20:14.254,"b,c"
transcribe,00:20:14.450,00:20:14.950,"m,what?"
transcribe,00:20:15.894,00:20:16.394,"m,what?"
transcribe,00:20:17.830,00:20:18.330,"m,what?"
transcribe,00:20:19.024,00:20:19.524,"b,c"
transcribe,00:20:31.950,00:20:32.450,"b,c"
transcribe,00:20:35.871,00:20:36.371,"b,b"
transcribe,00:20:36.786,00:20:37.286,"b,c"
transcribe,00:20:37.067,00:20:37.567,"m,hello"
transcribe,00:20:38.165,00:20:38.665,"m,hello"
transcribe,00:20:38.863,00:20:39.363,"b,c"
transcribe,00:20:39.483,00:20:39.983,"m,hi"
transcribe,00:20:39.996,00:20:40.496,"b,c"
transcribe,00:20:40.598,00:20:41.098,"m,look"
transcribe,00:20:41.281,00:20:41.781,"b,c"
transcribe,00:20:41.885,00:20:42.385,"m,you wanna say hi?"
transcribe,00:20:42.908,00:20:43.408,"m,bye bye"
transcribe,00:20:43.575,00:20:44.075,"b,c"
transcribe,00:20:44.226,00:20:44.726,"b,c"
transcribe,00:20:46.117,00:20:46.617,"m,no?"
transcribe,00:20:47.684,00:20:48.184,"b,c"
transcribe,00:20:48.381,00:20:48.881,"m,what?"
transcribe,00:20:48.814,00:20:49.314,"m,no"
transcribe,00:20:49.281,00:20:49.781,"m,no no no"
transcribe,00:20:49.978,00:20:50.478,"m,you're not drawing on here"
transcribe,00:20:50.598,00:20:51.098,"b,c"
transcribe,00:20:51.185,00:20:51.685,"m,ok?"
transcribe,00:20:53.177,00:20:53.677,"m,please?"
transcribe,00:20:53.876,00:20:54.376,"m,cant i have this?"
transcribe,00:20:54.929,00:20:55.429,"b,c"
transcribe,00:20:55.256,00:20:55.756,"b,c"
transcribe,00:20:55.937,00:20:56.437,"b,c"
transcribe,00:20:56.340,00:20:56.840,"b,c"
transcribe,00:20:56.819,00:20:57.319,"b,c"
transcribe,00:20:58.726,00:20:59.226,"m,luca"
transcribe,00:21:00.278,00:21:00.778,"m,stop"
transcribe,00:21:00.850,00:21:01.350,"b,c"
transcribe,00:21:01.083,00:21:01.583,"m,its time"
transcribe,00:21:01.773,00:21:02.273,"m,hey"
transcribe,00:21:03.486,00:21:03.986,"m,its ok"
transcribe,00:21:05.618,00:21:06.118,"m,you'll get them back later"
transcribe,00:21:07.183,00:21:07.683,"m,ok?"
transcribe,00:21:08.214,00:21:08.714,"b,c"
transcribe,00:21:11.259,00:21:11.759,"b,c"
transcribe,00:21:11.941,00:21:12.441,"b,c"
transcribe,00:21:13.321,00:21:13.821,"m,xxx"
transcribe,00:21:15.856,00:21:16.356,"b,c"
transcribe,00:21:17.660,00:21:18.160,"b,c"
transcribe,00:21:19.924,00:21:20.424,"b,c"
transcribe,00:21:21.164,00:21:21.664,"b,c"
transcribe,00:21:22.684,00:21:23.184,"b,c"
transcribe,00:21:23.506,00:21:24.006,"m,come on"
transcribe,00:21:24.482,00:21:24.982,"b,c"
transcribe,00:21:26.170,00:21:26.670,"b,c"
transcribe,00:21:27.456,00:21:27.956,"b,c"
transcribe,00:21:30.728,00:21:31.228,"b,c"
transcribe,00:21:32.959,00:21:33.459,"b,c"
transcribe,00:21:33.702,00:21:34.202,"b,c"
transcribe,00:21:35.346,00:21:35.846,"b,c"
transcribe,00:21:38.013,00:21:38.513,"b,c"
transcribe,00:21:38.988,00:21:39.488,"b,c"
transcribe,00:21:39.378,00:21:39.878,"m,hey"
transcribe,00:21:40.802,00:21:41.302,"b,c"
transcribe,00:21:41.716,00:21:42.216,"b,c"
transcribe,00:21:42.726,00:21:43.226,"b,c"
transcribe,00:21:43.749,00:21:44.249,"b,c"
transcribe,00:21:46.291,00:21:46.791,"b,c"
transcribe,00:21:47.173,00:21:47.673,"b,c"
transcribe,00:21:47.376,00:21:47.876,"m,calm down"
transcribe,00:21:48.863,00:21:49.363,"b,c"
transcribe,00:21:50.082,00:21:50.582,"b,c"
transcribe,00:21:50.980,00:21:51.480,"b,c"
transcribe,00:21:52.658,00:21:53.158,"b,c"
transcribe,00:21:54.774,00:21:55.274,"m,you're ok"
transcribe,00:21:56.698,00:21:57.198,"b,c"
transcribe,00:21:57.410,00:21:57.910,"m,you're ok"
transcribe,00:21:58.712,00:21:59.212,"b,c"
transcribe,00:21:59.766,00:22:00.266,"b,c"
transcribe,00:22:00.122,00:22:00.622,"m,are you hot?"
transcribe,00:22:01.302,00:22:01.802,"b,c"
transcribe,00:22:02.789,00:22:03.289,"b,c"
transcribe,00:22:03.920,00:22:04.420,"b,c"
transcribe,00:22:05.254,00:22:05.754,"b,c"
transcribe,00:22:07.066,00:22:07.566,"b,c"
